"","COVID","Sex","n","freq","frequency","cumul.sum","label","SE","CI","labelpos"
"1","COVID-19","female",67,0.190883190883191,0.191,0.190883190883191,"N=351",0.007953941,0.015589724,0.0955
"2","Other","female",1529,0.113183803390332,0.113,0.113183803390332,"N=13509",0.004599037,0.009014112,0.0565
