Year,Name,Sex,Accuracy,Samples,Topic,Country,Continent,Column1,Column2
2018,Jing,female,75,2534,Microbiology,China,Asia (China),,
2018,Wei,male,73,4003,Microbiology,China,Asia (China),,
2018,Jianhao,male,100,15,Microbiology,China,Asia (China),,
2018,Yunting,female,84,19,Microbiology,China,Asia (China),,
2018,Pengcheng,male,100,35,Microbiology,China,Asia (China),,
2018,Susanna,female,99,8003,Microbiology,China,Asia (China),,
2018,Xiaohui,male,54,153,Microbiology,China,Asia (China),,
2018,Dan,male,97,61524,Microbiology,China,Asia (China),,
2018,Wenying,female,78,27,Microbiology,China,Asia (China),,
2018,Jing,female,75,2534,Microbiology,China,Asia (China),,
2018,Jinjin,female,53,135,Microbiology,China,Asia (China),,
2018,Yanfei,female,55,31,Microbiology,China,Asia (China),,
2018,Kaikai,male,69,83,Microbiology,China,Asia (China),,
2018,Lu,female,68,5209,Microbiology,China,Asia (China),,
2018,Xiaoran,female,52,27,Microbiology,China,Asia (China),,
2018,Bin,male,89,2162,Microbiology,China,Asia (China),,
2018,Yejun,male,99,71,Microbiology,China,Asia (China),,
2018,Zhang,male,61,2518,Microbiology,China,Asia (China),,
2018,Xianzhi,male,88,8,Microbiology,China,Asia (China),,
2018,Zhihao,male,98,63,Microbiology,China,Asia (China),,
2018,Ling,female,79,2215,Microbiology,China,Asia (China),,
2018,Lingna,female,100,4,Microbiology,China,Asia (China),,
2018,Jason,male,99,76567,Microbiology,China,Asia (China),,
2018,Zhihong,male,72,43,Microbiology,China,Asia (China),,
2018,Jiayi,female,76,161,Microbiology,China,Asia (China),,
2018,Yi,male,61,1397,Microbiology,China,Asia (China),,
2018,Jiyong,male,86,85,Microbiology,China,Asia (China),,
2019,Yufu,male,84,19,Microbiology,China,Asia (China),,
2019,Shang,male,67,225,Microbiology,China,Asia (China),,
2019,Congcong,female,63,19,Microbiology,China,Asia (China),,
2019,Li,female,53,4165,Microbiology,China,Asia (China),,
2019,Jianhui,male,90,30,Microbiology,China,Asia (China),,
2019,Tong-Wei,male,75,6150,Microbiology,China,Asia (China),,
2019,Dong,male,87,2212,Microbiology,China,Asia (China),,
2019,Ling,female,79,2215,Microbiology,China,Asia (China),,
2019,Simin,female,90,422,Microbiology,China,Asia (China),,
2019,Hongshi,male,56,9,Microbiology,China,Asia (China),,
2019,Zhiyu,male,77,44,Microbiology,China,Asia (China),,
2019,Zhizhou,male,100,4,Microbiology,China,Asia (China),,
2019,Junhua,male,78,23,Microbiology,China,Asia (China),,
2020,Hongan,male,67,3,Microbiology,China,Asia (China),,
2020,Kai-Yue,male,86,12271,Microbiology,China,Asia (China),,
2020,Shuxin,male,53,15,Microbiology,China,Asia (China),,
2020,Jinwen,male,60,10,Microbiology,China,Asia (China),,
2020,Ying,female,89,3288,Microbiology,China,Asia (China),,
2020,Peng,male,84,1353,Microbiology,China,Asia (China),,
2020,Jie,male,61,1651,Microbiology,China,Asia (China),,
2020,Geng,male,78,170,Microbiology,China,Asia (China),,
2020,Kai,male,96,28964,Microbiology,China,Asia (China),,
2020,Wenying,female,78,27,Microbiology,China,Asia (China),,
2020,Lihong,female,76,50,Microbiology,China,Asia (China),,
2020,Zhongyi,male,74,19,Microbiology,China,Asia (China),,
2020,Wenjing,female,88,96,Microbiology,China,Asia (China),,
2020,Jonathan,male,99,84386,Microbiology,China,Asia (China),,
2020,Tangcheng,male,75,4,Microbiology,China,Asia (China),,
2020,Xi,female,63,98,Microbiology,China,Asia (China),,
2020,Yiwen,female,69,134,Microbiology,China,Asia (China),,
2020,Jinkai,male,91,11,Microbiology,China,Asia (China),,
2020,Bo,male,85,5389,Microbiology,China,Asia (China),,
2020,Xumin,male,71,7,Microbiology,China,Asia (China),,
2020,Yinghui,female,90,30,Microbiology,China,Asia (China),,
2020,Hongjing,female,100,3,Microbiology,China,Asia (China),,
2020,Jiya,female,91,484,Microbiology,China,Asia (China),,
2020,Chenjian,male,100,3,Microbiology,China,Asia (China),,
2020,Yuan,male,58,1657,Microbiology,China,Asia (China),,
2018,Shu-Fen,female,100,4,Microbiology,China ,Asia (China),,
2020,Anika,female,99,8886,Microbiology,China ,Asia (China),,
2020,Alejandra,female,98,18508,Microbiology,Colombia,South America,,
2018,Tereza,female,99,13164,Microbiology,Czech Republic,Europe,,
2019,Michaela,female,92,31084,Microbiology,Czech Republic,Europe,,
2020,Indranil,male,100,589,Microbiology,Czech Republic,Europe,,
2017,Christian,male,100,48300,Microbiology,Denmark,Europe,,
2017,Alejandro,male,99,45618,Microbiology,Denmark,Europe,,
2018,Panagiotis,male,99,3514,Microbiology,Denmark,Europe,,
2018,Kristoffer,male,100,2865,Microbiology,Denmark,Europe,,
2019,Rebecca,female,99,35211,Microbiology,Denmark,Europe,,
2019,Lasse,male,99,2628,Microbiology,Denmark,Europe,,
2019,Truc,female,53,1156,Microbiology,Denmark,Europe,,
2020,Anders,male,99,9660,Microbiology,Denmark,Europe,,
2020,Rafael,male,99,52197,Microbiology,Denmark,Europe,,
2020,Caitlin,female,99,5889,Microbiology,Denmark,Europe,,
2020,Anna,female,98,184558,Microbiology,Denmark,Europe,,
2017,Ahmed,male,98,156410,Microbiology,Egypt,Africa,,
2018,Olesja,female,98,217,Microbiology,Estonia,Europe,,
2019,Arvi,male,88,161,Microbiology,Estonia,Europe,,
2019,Kristoffer,male,100,2865,Microbiology,Finland,Europe,,
2017,Jakub,male,99,23677,Microbiology,France,Europe,,
2018,Raphaël,male,99,2546,Microbiology,France,Europe,,
2018,Thi,male,53,1057,Microbiology,France,Europe,,
2018,Diego,male,99,67382,Microbiology,France,Europe,,
2018,Emilie,female,98,34722,Microbiology,France,Europe,,
2018,Cesar,male,99,24208,Microbiology,France,Europe,,
2018,Selma,female,97,10515,Microbiology,France,Europe,,
2018,Pritom,male,100,87,Microbiology,France,Europe,,
2018,Dea,female,90,2051,Microbiology,France,Europe,,
2018,Eva,female,98,79421,Microbiology,France,Europe,,
2018,Charles,male,98,52754,Microbiology,France,Europe,,
2018,Calum,male,99,945,Microbiology,France,Europe,,
2019,Cécile,female,98,8507,Microbiology,France,Europe,,
2019,Julie,female,98,72376,Microbiology,France,Europe,,
2019,Benoit,male,98,18384,Microbiology,France,Europe,,
2019,Camille,female,84,20218,Microbiology,France,Europe,,
2019,Matthieu,male,99,12012,Microbiology,France,Europe,,
2019,Isabelle,female,99,85994,Microbiology,France,Europe,,
2019,Alberto,male,99,73988,Microbiology,France,Europe,,
2019,Annabelle,female,100,24842,Microbiology,France,Europe,,
2019,Veronika,female,99,31200,Microbiology,France,Europe,,
2019,Jean-Claude,male,99,7170,Microbiology,France,Europe,,
2019,Armand,male,98,5680,Microbiology,France,Europe,,
2020,Magali,female,98,11350,Microbiology,France,Europe,,
2020,Christina,female,94,36391,Microbiology,France,Europe,,
2020,Charlotte,female,96,27559,Microbiology,France,Europe,,
2020,Sébastien,male,99,18623,Microbiology,France,Europe,,
2020,Xiaomei,female,97,69,Microbiology,France,Europe,,
2020,Asma,female,97,8881,Microbiology,France,Europe,,
2020,Zhongxiao,male,100,5,Microbiology,France,Europe,,
2020,C.,male,59,943,Microbiology,France,Europe,,
2020,Melanie,female,98,35986,Microbiology,France,Europe,,
2020,Virginia,female,98,14661,Microbiology,France,Europe,,
2020,Guillaume,male,99,37030,Microbiology,France,Europe,,
2020,Martial,male,98,4906,Microbiology,France,Europe,,
2020,Thomas,male,99,129177,Microbiology,France,Europe,,
2020,Jacques,male,98,25243,Microbiology,France,Europe,,
2020,Nicolas,male,99,79977,Microbiology,France,Europe,,
2020,Hamadou,male,96,515,Microbiology,France,Europe,,
2020,Yankel,male,92,24,Microbiology,France,Europe,,
2020,Matthew,male,100,51412,Microbiology,France,Europe,,
2020,Candice,female,98,5276,Microbiology,France,Europe,,
2020,Alejandro,male,99,45618,Microbiology,France,Europe,,
2020,Matteo,male,99,45472,Microbiology,France,Europe,,
2020,Alice,female,98,40209,Microbiology,France,Europe,,
2020,Camille,female,84,20218,Microbiology,France,Europe,,
2020,Catherine,female,98,41180,Microbiology,France,Europe,,
2020,Patricia,female,98,88761,Microbiology,France,Europe,,
