"","COVID","Sex","n","freq","frequency","cumul.sum","label","SE","CI"
"1","COVID-19","female",601,0.253586497890295,0.254,0.253586497890295,"N=2370",0.00893673,0.017515991
"2","Other","female",2907,0.370035641547862,0.37,0.370035641547862,"N=7856",0.005447271,0.010676652
