SE,CI
0.021293199,0.041734671
0.019690219,0.038592829
0.018554259,0.036366347
0.015124949,0.0296449
0.016426699,0.032196331
0.013397817,0.026259722
0.01219295,0.023898182
0.012179907,0.023872618
0.01157042,0.022678022
0.009356978,0.018339677
0.010911768,0.021387065
0.008941478,0.017525297
