SE,CI
0.017980331,0.035241449
0.017030796,0.033380359
0.014616249,0.028647848
0.011903687,0.023331226
0.013052439,0.02558278
0.010951237,0.021464424
0.010225763,0.020042495
0.009819076,0.01924539
0.009520838,0.018660843
0.007705327,0.015102441
0.009000332,0.01764065
0.007500477,0.014700935
