"","COVID","Sex","n","freq","frequency","cumul.sum","label","SE","CI"
"1","COVID-19","female",27,0.0771428571428571,0.077,0.0771428571428571,"N=350",0.007953941,0.015589724
"2","Other","female",1656,0.126877106956788,0.127,0.126877106956788,"N=13052",0.004599037,0.009014112
