SE,CI
0.00631915,0.012385533
0.005792692,0.011353677
0.005280202,0.010349195
0.005564458,0.010906338
0.005673221,0.011119513
0.00509898,0.009994002
0.00488392,0.009572484
0.005336554,0.010459647
0.004656914,0.009127551
0.004791177,0.009390707
0.005268981,0.010327203
0.004851418,0.00950878
