"","COVID","Sex","n","freq","frequency","cumul.sum","label","SE","CI"
"1","COVID-19","female",465,0.190651906519065,0.191,0.190651906519065,"N=2439",0.007953941,0.015589724
"2","Other","female",1964,0.23267385380879,0.233,0.23267385380879,"N=8441",0.004599037,0.009014112
